Echinops telfairi
Chrysospalax trevelyani
Paleobiology Database
Systematic Biology
PLOS Biology
Carpitalpa arendsi
Chlorotalpa duthieae
Chlorotalpa sclateri
Chrysochloris asiatica
Chrysochloris stuhlmanni
Chrysochloris visagiei
Chrysospalax villosus
Cryptochloris wintoni
Cryptochloris zyli
Eremitalpa granti
Amblysomus corriae
Amblysomus septentrionalis
Amblysomus hottentotus
Amblysomus marleyi
Amblysomus robustus
Calcochloris obtusirostris
Calcochloris leucorhinus
Huetia leucorhina
Calcochloris tytonis
Neamblysomus gunningi
Neamblysomus julianae
Micropotamogale lamottei
Micropotamogale ruwenzorii
Potamogale velox
Geogale aurita
Microgale cowani
Microgale drouhardi
Microgale dryas
Microgale gracilis
Microgale brevicaudata
Microgale grandidieri
Microgale principula
Microgale jenkinsae
Microgale pusilla
Microgale longicaudata
Microgale majori
Microgale monticola
Microgale gymnorhyncha
Microgale nasoloi
Microgale jobihely
Microgale fotsifotsy
Microgale parvula
Microgale soricoides
Microgale taiva
Microgale thomasi
Limnogale mergulus
Microgale dobsoni
Microgale talazaci
Oryzorictes tetradactylus
Oryzorictes hova
Hemicentetes nigriceps
Hemicentetes semispinosus
Setifer setosus
Tenrec ecaudatus
