incertae sedis
Antilocapra americana
Aepyceros melampus
Alcelaphus buselaphus
Beatragus hunteri
Black wildebeest
Connochaetes gnou
Blue wildebeest
Connochaetes taurinus
Common tsessebe
Damaliscus pygargus
Damaliscus lunatus
Ammodorcas clarkei
Antidorcas marsupialis
Antilope cervicapra
Dorcatragus megalotis
Mongalla gazelle
Red-fronted gazelle
Thomson's gazelle
Eudorcas thomsonii
Heuglin's gazelle
Eudorcas albonotata
Eudorcas rufifrons
Red gazelle
Eudorcas rufina
Eudorcas tilonura
Arabian gazelle
Gazella bennettii
Cuvier's gazelle
Dorcas gazelle
Erlanger's gazelle
Mountain gazelle
Rhim gazelle
Speke's gazelle
Goitered gazelle
Gazella arabica
Gazella cuvieri
Gazella dorcas
Gazella gazella
Gazella leptoceros
Gazella marica
Gazella spekei
Gazella subgutturosa
Litocranius walleri
Günther's dik-dik
Madoqua guentheri
Kirk's dik-dik
Madoqua kirkii
Silver dik-dik
Salt's dik-dik
Madoqua saltiana
Madoqua piacentinii
Dama gazelle
Nanger dama
Grant's gazelle
Soemmerring's gazelle
Nanger granti
Nanger soemmerringii
Neotragus batesi
Neotragus moschatus
Royal antelope
Neotragus pygmaeus
Oreotragus oreotragus
Ourebia ourebi
Mongolian gazelle
Procapra gutturosa
Przewalski's gazelle
Procapra przewalskii
Procapra picticaudata
Raphicerus campestris
Cape grysbok
Sharpe's grysbok
Raphicerus sharpei
Raphicerus melanotis
Saiga tatarica
American bison
European bison
Bison bison
Bison bonasus
Bos frontalis
Bos javanicus
Wild yak
Bos sauveli
Bos gaurus
Bos grunniens
Bos mutus
Bos taurus
Boselaphus tragocamelus
Water buffalo
Bubalus bubalis
Lowland anoa
Bubalus mindorensis
Mountain anoa
Bubalus arnee
Bubalus depressicornis
Bubalus quarlesi
Pseudoryx nghetinhensis
Syncerus caffer
Giant eland
Taurotragus derbianus
Common eland
Tragelaphus derbianus
Tragelaphus oryx
Tetracerus quadricornis
Mountain nyala
Tragelaphus buxtoni
Tragelaphus eurycerus
Lesser kudu
Tragelaphus imberbis
Harnessed bushbuck
Greater kudu
Tragelaphus angasii
Tragelaphus scriptus
Tragelaphus spekii
Tragelaphus strepsiceros
Ammotragus lervia
Arabitragus jayakari
Budorcas taxicolor
Wild goat
Capra hircus
Capra cylindricornis
Alpine ibex
Capra ibex
Capra falconeri
Nubian ibex
Capra nubiana
Iberian ibex
Capra pyrenaica
Siberian ibex
Capra sibirica
Walia ibex
Capra aegagrus
Capra caucasica
Capra walie
Japanese serow
Capricornis crispus
Red serow
Mainland serow
Taiwan serow
Capricornis rubidus
Capricornis sumatraensis
Capricornis swinhoei
Hemitragus jemlahicus
Red goral
Long-tailed goral
Himalayan goral
Naemorhedus goral
Chinese goral
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus griseus
Hemitragus hylocrius
Nilgiritragus hylocrius
Oreamnos americanus
Ovibos moschatus
Ovis ammon
Ovis aries
Bighorn sheep
Ovis canadensis
Dall sheep
Ovis dalli
Snow sheep
Ovis gmelini
Ovis nivicola
Ovis vignei
Pantholops hodgsonii
Pseudois nayaur
Pyrenean chamois
Rupicapra pyrenaica
Rupicapra rupicapra
Aders's duiker
Cephalophus adersi
Brooke's duiker
Peters's duiker
White-legged duiker
Bay duiker
Cephalophus dorsalis
Jentink's duiker
White-bellied duiker
Black duiker
Cephalophus niger
Black-fronted duiker
Cephalophus nigrifrons
Ogilby's duiker
Red-flanked duiker
Cephalophus rufilatus
Yellow-backed duiker
Cephalophus silvicultor
Abbott's duiker
Cephalophus spadix
Weyns's duiker
Zebra duiker
Cephalophus callipygus
Cephalophus jentinki
Cephalophus leucogaster
Cephalophus natalensis
Cephalophus ogilbyi
Cephalophus weynsi
Cephalophus zebra
Philantomba maxwellii
Blue duiker
Philantomba monticola
Maxwell's duiker
Walter's duiker
Philantomba walteri
Sylvicapra grimmia
Addax nasomaculatus
Roan antelope
Hippotragus leucophaeus
Sable antelope
Hippotragus equinus
Hippotragus niger
Scimitar oryx
Oryx gazella
Arabian oryx
Oryx leucoryx
Oryx beisa
Oryx dammah
Kobus ellipsiprymnus
Nile lechwe
Kobus vardonii
Kobus kob
Kobus leche
Kobus megaceros
Pelea capreolus
Southern reedbuck
Redunca arundinum
Mountain reedbuck
Bohor reedbuck
Redunca redunca
Redunca fulvorufula
Alces alces
Blastocerus dichotomus
Roe deer
Capreolus capreolus
Capreolus pygargus
Hippocamelus antisensis
Hippocamelus bisulcus
Hydropotes inermis
Red brocket
Mazama americana
Dwarf brocket
Mazama chunyi
Mérida brocket
Mazama bricenii
Mazama bororo
Gray brocket
Mazama gouazoubira
Pygmy brocket
Mazama nana
Mazama nemorivaga
Mazama rufina
Mazama temama
Mule deer
Odocoileus hemionus
White-tailed deer
Odocoileus virginianus
Mazama pandora
Ozotoceros bezoarticus
Northern pudú
Pudu mephistophiles
Southern pudú
Pudu puda
Rangifer tarandus
Calamian deer
Axis calamianensis
Bawean deer
Axis axis
Axis kuhlii
Axis porcinus
Thorold's deer
Red deer
Cervus elaphus
Sika deer
Cervus nippon
Cervus albirostris
Cervus canadensis
Cervus hanglu
Dama dama
Dama mesopotamica
Elaphodus cephalophus
Elaphurus davidianus
Muntiacus atherodes
Hairy-fronted muntjac
Muntiacus crinifrons
Fea's muntjac
Gongshan muntjac
Indian muntjac
Muntiacus muntjak
Leaf muntjac
Muntiacus putaoensis
Reeves's muntjac
Muntiacus reevesi
Roosevelt's muntjac
Giant muntjac
Muntiacus feae
Muntiacus gongshanensis
Muntiacus puhoatensis
Muntiacus rooseveltorum
Muntiacus truongsonensis
Muntiacus vuquangensis
Rucervus eldii
Cervus eldii
Rucervus duvaucelii
Schomburgk's deer
Rucervus schomburgki
Rusa alfredi
Philippine deer
Rusa marianna
Javan deer
Sambar deer
Rusa unicolor
Rusa timorensis
Giraffa camelopardalis
Okapia johnstoni
Moschus anhuiensis
Moschus berezovskii
Moschus chrysogaster
Moschus cupreus
Moschus fuscus
Moschus leucogaster
Moschus moschiferus
Hyemoschus aquaticus
Moschiola indica
Yellow-striped chevrotain
Moschiola kathygre
Moschiola meminna
Java mouse-deer
Tragulus javanicus
Lesser mouse-deer
Tragulus kanchil
Greater mouse-deer
Tragulus napu
Philippine mouse-deer
Tragulus nigricans
Vietnam mouse-deer
Tragulus versicolor
Williamson's mouse-deer
Tragulus williamsoni
Togian babirusa
Babyrousa celebensis
Babyrousa togeanensis
Hylochoerus meinertzhageni
Desert warthog
Phacochoerus aethiopicus
Common warthog
Phacochoerus africanus
Porcula salvania
Potamochoerus larvatus
Potamochoerus porcus
Sus barbatus
Sus celebensis
Sus verrucosus
Wild boar
Sus scrofa
Sus ahoenobarbus
Sus cebifrons
Sus oliveri
Sus philippensis
Catagonus Wagneri
Vertebrate Collection
Catagonus wagneri
Pecari tajacu
Tayassu pecari
Lama glama
Lama pacos
Lama guanicoe
Vicugna vicugna
Balaena mysticetus
Eubalaena australis
Eubalaena glacialis
Eubalaena japonica
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Sei whale
Balaenoptera borealis
Eden's whale
Bryde's whale
Rice's whale
Balaenoptera edeni
Blue whale
Balaenoptera musculus
Fin whale
Balaenoptera physalus
Omura's whale
Balaenoptera omurai
Eschrichtius robustus
Megaptera novaeangliae
Caperea marginata
Delphinus delphis
Lagenodelphis hosei
Sotalia fluviatilis
Guiana dolphin
Sotalia guianensis
Sousa chinensis
Sousa plumbea
Sousa sahulensis
Sousa teuszii
Stenella attenuata
Clymene dolphin
Stenella clymene
Striped dolphin
Stenella coeruleoalba
Stenella frontalis
Spinner dolphin
Stenella longirostris
Tursiops aduncus
Tursiops truncatus
Commerson's dolphin
Cephalorhynchus commersonii
Chilean dolphin
Cephalorhynchus eutropia
Heaviside's dolphin
Cephalorhynchus heavisidii
Hector's dolphin
Cephalorhynchus hectori
Lissodelphis borealis
Lissodelphis peronii
Feresa attenuata
Globicephala macrorhynchus
Globicephala melas
Grampus griseus
Irrawaddy dolphin
Orcaella brevirostris
Orcaella heinsohni
Peponocephala electra
Pseudorca crassidens
Steno bredanensis
Orcinus orca
White-beaked dolphin
Lagenorhynchus albirostris
Lagenorhynchus acutus
Peale's dolphin
Lagenorhynchus australis
Hourglass dolphin
Lagenorhynchus cruciger
Lagenorhynchus obliquidens
Dusky dolphin
Lagenorhynchus obscurus
Inia geoffrensis
Kogia breviceps
Kogia sima
Lipotes vexillifer
Delphinapterus leucas
Monodon monoceros
Neophocaena phocaenoides
Neophocaena asiaeorientalis
Spectacled porpoise
