Rousettus aegyptiacus
Tadarida brasiliensis
Myotis myotis
Cynopterus sphinx
Rhinolophus ferrumequinum
Desmodus rotundus
Integrative Zoology
Balantiopteryx infusca
Balantiopteryx plicata
Balantiopteryx io
Shaggy bat
Centronycteris maximiliani
Centronycteris centralis
Coleura afra
Coleura kibomalandy
Coleura seychellensis
Cormura brevirostris
Cyttarops alecto
Diclidurus ingens
Diclidurus isabella
Diclidurus scutatus
Diclidurus albus
Emballonura beccarii
Emballonura furax
Emballonura dianae
Emballonura monticola
Emballonura semicaudata
Emballonura raffrayana
Emballonura serii
Emballonura alecto
Mosia nigrescens
Paremballonura atrata
Paremballonura tiavato
Peropteryx kappleri
Peropteryx macrotis
Peropteryx pallidoptera
Peropteryx trinitatis
Peropteryx leucoptera
Rhynchonycteris naso
Saccopteryx gymnura
Saccopteryx antioquensis
Saccopteryx canescens
Saccopteryx bilineata
Saccopteryx leptura
Saccolaimus saccolaimus
Saccolaimus mixtus
Saccolaimus peli
Saccolaimus flaviventris
Taphozous kapalgensis
Taphozous melanopogon
Taphozous australis
Taphozous georgianus
Taphozous perforatus
Taphozous hamiltoni
Taphozous hildegardeae
Taphozous hilli
Taphozous achates
Taphozous longimanus
Taphozous mauritianus
Taphozous nudiventris
Taphozous theobaldi
Taphozous troughtoni
Nycteris aurita
Nycteris arge
Nycteris nana
Nycteris thebaica
Nycteris gambiensis
Nycteris hispida
Nycteris intermedia
Nycteris major
Nycteris javanica
Nycteris grandis
Nycteris macrotis
Nycteris madagascariensis
Nycteris tragata
Nycteris parisii
Nycteris vinsoni
Nycteris woodi
Amorphochilus schnablii
Furipterus horrens
Mormoops blainvillei
Ghost-faced bat
Mormoops megalophylla
Pteronotus gymnonotus
Pteronotus davyi
Pteronotus macleayii
Pteronotus mesoamericanus
Pteronotus paraguanensis
Pteronotus parnellii
Pteronotus quadridens
Pteronotus rubiginosus
Pteronotus personatus
Mystacina robusta
Mystacina tuberculata
Myzopoda aurita
Myzopoda schliemanni
Noctilio albiventris
Noctilio leporinus
Carollia benkeithi
Carollia castanea
Carollia subrufa
Carollia manu
Carollia monohernandezi
Carollia perspicillata
Carollia brevicauda
Carollia sowelli
Diaemus youngi
Diphylla ecaudata
Anoura latidens
Anoura cadenai
Anoura aequatoris
Anoura geoffroyi
Anoura cultrata
Anoura luismanueli
Anoura caudifer
Anoura peruana
Anoura fistulata
Brachyphylla cavernarum
Brachyphylla nana
Choeroniscus godmani
Choeroniscus periosus
Choeroniscus minor
Choeronycteris mexicana
Dryadonycteris capixaba
Erophylla bombifrons
Erophylla sezekorni
Glossophaga commissarisi
Glossophaga leachii
Glossophaga longirostris
Glossophaga soricina
Glossophaga morenoi
Hylonycteris underwoodi
Leptonycteris nivalis
Leptonycteris yerbabuenae
Leptonycteris curasoae
Lichonycteris obscura
Lichonycteris degener
Monophyllus plethodon
Monophyllus redmani
Musonycteris harrisoni
Phyllonycteris poeyi
Phyllonycteris aphylla
Platalina genovensium
Scleronycteris ega
Xeronycteris vieirai
Behn's bat
Glyphonycteris behnii
Glyphonycteris daviesi
Glyphonycteris sylvestris
Neonycteris pusilla
Trinycteris nicefori
Lionycteris spurrelli
Lonchophylla bokermanni
Lonchophylla cadenai
Lonchophylla concava
Lonchophylla chocoana
Lonchophylla dekeyseri
Lonchophylla orienticollina
Lonchophylla mordax
Lonchophylla handleyi
Lonchophylla robusta
Lonchophylla orcesi
Lonchophylla fornicata
Lonchophylla pattoni
Lonchophylla peracchii
Lonchophylla thomasi
Lonchophylla hesperia
Lonchorhina fernandezi
Lonchorhina marinkellei
Lonchorhina inusitata
Lonchorhina orinocensis
Lonchorhina aurita
Macrotus californicus
Macrotus waterhousii
Lampronycteris brachyotis
Micronycteris brosseti
Micronycteris microtis
Micronycteris giovanniae
Micronycteris hirsuta
Micronycteris megalotis
Micronycteris matses
Micronycteris buriri
Micronycteris sanborni
Micronycteris schmidtorum
Micronycteris minuta
Micronycteris yatesi
Chrotopterus auritus
Gardnerycteris koepckeae
Gardnerycteris crenulatum
Lophostoma carrikeri
Lophostoma evotis
Lophostoma kalkoae
Lophostoma brasiliense
Lophostoma schulzi
Lophostoma occidentalis
Lophostoma silvicolum
Macrophyllum macrophyllum
Mimon cozumelae
Golden bat
Mimon bennettii
Phylloderma stenops
Phyllostomus hastatus
Phyllostomus latifolius
Phyllostomus elongatus
Phyllostomus discolor
Tonatia bidens
Trachops cirrhosus
Vampyrum spectrum
Rhinophylla pumilio
Rhinophylla fischerae
Rhinophylla alethina
Ametrida centurio
Ardops nichollsi
Ariteus flavescens
Artibeus concolor
Artibeus obscurus
Artibeus aequatorialis
Artibeus planirostris
Artibeus fraterculus
Artibeus fimbriatus
Artibeus lituratus
Artibeus hirsutus
Artibeus inopinatus
Artibeus jamaicensis
Artibeus amplus
Artibeus schwartzi
Centurio senex
Chiroderma doriae
Chiroderma improvisum
Chiroderma villosum
Chiroderma trinitatum
Chiroderma salvini
Dermanura anderseni
Dermanura azteca
Dermanura bogotensis
Dermanura cinerea
Dermanura gnoma
Dermanura rava
Dermanura phaeotis
Dermanura rosenbergi
Dermanura glauca
Dermanura watsoni
Dermanura tolteca
Ectophylla alba
Enchisthenes hartii
Mesophylla macconnelli
Phyllops falcatus
Platyrrhinus albericoi
Platyrrhinus fusciventris
Platyrrhinus infuscus
Platyrrhinus aquilus
Platyrrhinus aurarius
Platyrrhinus vittatus
Platyrrhinus helleri
Platyrrhinus incarum
Platyrrhinus ismaeli
Platyrrhinus matapalensis
Platyrrhinus masu
Platyrrhinus recifinus
Platyrrhinus umbratus
Platyrrhinus brachycephalus
Platyrrhinus angustirostris
Platyrrhinus dorsalis
Platyrrhinus nitelinea
Platyrrhinus lineatus
Pygoderma bilabiatum
Sphaeronycteris toxophyllum
Stenoderma rufum
Sturnira aratathomasi
Sturnira bakeri
Sturnira bidens
Sturnira bogotensis
Sturnira burtonlimi
Sturnira koopmanhilli
Sturnira magna
Sturnira angeli
Sturnira erythromos
Sturnira ludovici
Sturnira hondurensis
Sturnira nana
Sturnira lilium
Sturnira luisi
Sturnira mistratensis
Sturnira parvidens
Sturnira paulsoni
Sturnira perla
Sturnira sorianoi
Sturnira mordax
Sturnira tildae
Sturnira oporaphilum
Uroderma magnirostrum
Tent-making bat
Uroderma bilobatum
Vampyressa melissa
Vampyressa thyone
Vampyressa pusilla
Vampyriscus bidens
Vampyriscus brocki
Vampyriscus nymphaea
Vampyrodes caraccioli
Vampyrodes major
Thyroptera devivoi
Thyroptera discifera
Thyroptera lavali
Thyroptera tricolor
Thyroptera wynneae
Cistugo seabrae
Cistugo lesueuri
Miniopterus aelleni
Miniopterus africanus
Miniopterus schreibersii
Miniopterus egeri
Miniopterus gleni
Miniopterus tristis
Miniopterus inflatus
Miniopterus griffithsi
Miniopterus griveaudi
Miniopterus medius
Miniopterus minor
Miniopterus fraterculus
Miniopterus australis
Miniopterus robustior
Miniopterus brachytragos
Miniopterus maghrebensis
Miniopterus mahafaliensis
Miniopterus majori
Miniopterus manavi
Miniopterus ambohitrensis
Miniopterus natalensis
Miniopterus newtoni
Miniopterus pallidus
Miniopterus petersoni
Miniopterus paululus
Miniopterus shortridgei
Miniopterus pusillus
Miniopterus macrocneme
Miniopterus sororculus
Miniopterus fuscus
Miniopterus magnater
Austronomus australis
Austronomus kuboriensis
Hairless bat
Cheiromeles torquatus
Cheiromeles parvidens
Cynomops abrasus
Cynomops greenhalli
Cynomops mexicanus
Cynomops milleri
Cynomops paranus
Cynomops planirostris
Eumops dabbenei
Eumops auripendulus
Eumops trumbulli
Eumops delticus
Eumops bonariensis
Eumops ferox
Eumops floridanus
Eumops maurus
Eumops nanus
Eumops patagonicus
Eumops hansae
Eumops underwoodi
Eumops glaucinus
Eumops perotis
Eumops wilsoni
Micronomus norfolkensis
Molossops temminckii
Molossops aequatorianus
Molossops mattogrossensis
Molossops neglectus
Molossus alvarezi
Molossus aztecus
Molossus rufus
Molossus bondae
Molossus coibensis
Molossus pretiosus
Molossus sinaloae
Molossus currentium
Molossus molossus
Mops condylurus
Chaerephon ansorgei
Chaerephon jobimena
Chaerephon chapini
Chaerephon aloysiisabaudiae
Mops nanulus
Chaerephon bregullae
Chaerephon gallagheri
Chaerephon bemmeleni
Mops leucogaster
Chaerephon major
Chaerephon pumilus
Chaerephon atsinanana
Mops leucostigma
Mops mops
Mops congicus
Mops midas
Mops demonstrator
Mops niangarae
Chaerephon nigeriae
Chaerephon jobensis
Chaerephon johorensis
Mops petersoni
Railer bat
Mops thersites
Chaerephon russatus
Chaerephon tomensis
Mops pusillus
Mops brachypterus
Chaerephon solomonis
Chaerephon bivittatus
Mops spurrelli
Mops sarasinorum
Mops trevori
Mops niveiventer
Chaerephon plicatus
Mormopterus phrudus
Mormopterus kalinowskii
Mormopterus minutus
Mormopterus acetabulosus
Mormopterus jugularis
Mormopterus francoismoutoui
Mormopterus doriae
Myopterus whitleyi
Myopterus daubentonii
Nyctinomops macrotis
Broad-eared bat
Nyctinomops laticaudatus
Nyctinomops aurispinosus
Nyctinomops femorosaccus
Otomops papuensis
Otomops harrisoni
Otomops formosus
Otomops johnstonei
Otomops martiensseni
Otomops madagascariensis
Otomops secundus
Otomops wroughtoni
Ozimops beccarii
Ozimops halli
Ozimops petersi
Ozimops loriae
Ozimops lumsdenae
Ozimops cobourgianus
Ozimops ridei
Ozimops kitcheneri
Ozimops planiceps
Platymops setiger
Promops centralis
Promops nasutus
Promops davisoni
Sauromys petrophilus
Mormopterus eleryi
Tadarida ventralis
Tadarida insignis
Tadarida aegyptiaca
Tadarida teniotis
Tadarida lobata
Tadarida latouchei
Tadarida fulminans
Tomopeas ravus
Chilonatalus tumidifrons
Chilonatalus micropus
Chilonatalus macer
Natalus espiritosantensis
Natalus primus
Natalus major
Natalus jamaicensis
Natalus stramineus
Natalus mexicanus
Natalus tumidirostris
Nyctiellus lepidus
Kerivoula myrella
Kerivoula pellucida
Kerivoula cuprosa
Kerivoula crypta
Kerivoula argentata
Kerivoula furva
Kerivoula eriophora
Kerivoula depressa
Kerivoula flora
Kerivoula muscina
Kerivoula hardwickii
Kerivoula dongduongana
Kerivoula kachinensis
Kerivoula krauensis
Kerivoula minuta
Kerivoula lenis
Kerivoula lanosa
Painted bat
Kerivoula picta
Kerivoula papillosa
Kerivoula intermedia
Kerivoula smithii
Kerivoula phalaena
Kerivoula agnella
Kerivoula africana
Kerivoula titania
Kerivoula whiteheadi
Phoniscus aerosus
Golden-tipped bat
Phoniscus papuensis
Groove-toothed bat
Phoniscus atrox
Phoniscus jagorii
Harpiocephalus harpia
Harpiola isodon
Harpiola grisea
Murina annamitica
Murina balaensis
Murina beelzebub
Murina bicolor
Murina aenea
Murina suilla
Murina harpioloides
Murina fusca
Murina eleryi
Murina feae
Murina fionae
Flute-nosed bat
Murina florium
Murina rozendaali
Murina tenebrosa
Murina chrysochaetes
Murina leucogaster
Murina harrisoni
Murina recondita
Murina hilgendorfi
Murina huttoni
Murina jaintiana
Murina aurata
Murina lorelieae
Murina pluvialis
Murina cyclotis
Murina ryukyuana
Murina tubinaris
Murina shuipuensis
Murina gracilis
Murina puta
Murina ussuriensis
Murina walstoni
Eudiscopus denticulus
Alcathoe bat
Myotis alcathoe
Anjouan myotis
Myotis anjouanensis
Myotis annatessae
Annamit myotis
Myotis annamiticus
Arizona myotis
Myotis occultus
Atacama myotis
Myotis atacamensis
Australian myotis
Myotis australis
Barbados myotis
Myotis nyctor
Bechstein's bat
Myotis bechsteinii
Myotis pequinius
Black myotis
Myotis nigricans
Bocharic myotis
Myotis bucharensis
Myotis borneoensis
Brandt's bat
Myotis brandtii
Myotis montivagus
California myotis
Myotis californicus
Myotis tricolor
Cave myotis
Myotis velifer
Chilean myotis
Myotis chiloensis
Myotis laniger
Cinnamon myotis
Myotis fortidens
Cryptic myotis
Myotis crypticus
Myotis csorbai
Curacao myotis
Myotis nesopolus
Myotis melanorhinus
Daubenton's bat
Myotis daubentonii
David's myotis
Myotis davidii
Diminutive bat
Myotis diminutus
Dinelli's myotis
Myotis dinellii
Dominican myotis
Myotis dominicensis
Myotis macrodactylus
Myotis leibii
Myotis petax
Elegant myotis
Myotis elegans
Escalera's bat
Myotis escalerai
Myotis bombinus
Felten's myotis
Myotis punicus
Fish-eating bat
Myotis vivesi
Findley's myotis
Myotis findleyi
Flat-headed myotis
Myotis planiceps
Fraternal myotis
Myotis frater
Myotis fimbriatus
Fringed myotis
Myotis thysanodes
Frosted myotis
Myotis pruinosus
Geoffroy's bat
Myotis emarginatus
Gomantong myotis
Myotis gomantongensis
Gray bat
Myotis grisescens
Guatemalan myotis
Myotis cobanensis
Hairy-faced bat
Myotis annectans
Hairy-legged myotis
Myotis keaysi
Herman's myotis
Myotis hermani
Myotis siligorensis
Hodgson's bat
Myotis formosus
Horsfield's bat
Myotis horsfieldii
Ikonnikov's bat
Myotis ikonnikovi
Indiana bat
Myotis sodalis
Myotis indochinensis
