Paleobiology Database
Antechinus agilis
Antechinus godmani
Antechinus stuartii
Antechinus leo
Antechinus swainsonii
Antechinus bellus
Antechinus subtropicus
Antechinus minimus
Antechinus adustus
Antechinus flavipes
Dasycercus blythi
Dasycercus cristicauda
Dasykaluta rosamondae
Dasyuroides byrnei
Dasyurus spartacus
Dasyurus viverrinus
Dasyurus albopunctatus
Dasyurus hallucatus
Dasyurus maculatus
Dasyurus geoffroii
Murexia melanurus
Murexia rothschildi
Murexia habbema
Murexia naso
Murexia longicaudata
Myoictis wavicus
Myoictis melas
Myoictis wallacei
Myoictis leucura
Neophascogale lorentzii
Parantechinus apicalis
Phascogale tapoatafa
Phascogale calura
Phascogale pirata
Phascolosorex dorsalis
Phascolosorex doriae
Pseudantechinus mimulus
Pseudantechinus macdonnellensis
Pseudantechinus ningbing
Pseudantechinus roryi
Pseudantechinus bilarni
Pseudantechinus woolleyae
Sarcophilus harrisii
Antechinomys laniger
Ningaui timealeyi
Ningaui yvonnae
Ningaui yvonneae
Ningaui ridei
Planigale maculata
Planigale ingrami
Planigale tenuirostris
Planigale novaeguineae
Planigale gilesi
Sminthopsis butleri
Sminthopsis archeri
Sminthopsis crassicaudata
Sminthopsis gilberti
Sminthopsis griseoventer
Sminthopsis hirtipes
Sminthopsis douglasi
Sminthopsis bindi
Sminthopsis youngsoni
Sminthopsis dolichura
Sminthopsis longicaudata
Sminthopsis ooldea
Sminthopsis virginiae
Sminthopsis psammophila
Sminthopsis murina
Sminthopsis macroura
Sminthopsis leucopus
Sminthopsis granulipes
Myrmecobius fasciatus
Thylacinus cynocephalus
