Solenodon paradoxus
Erinaceus europaeus
Talpa europaea
Sorex ornatus
Scientific Reports
Four-toed hedgehog
Atelerix albiventris
Atelerix algirus
Somali hedgehog
Atelerix frontalis
Atelerix sclateri
Amur hedgehog
Erinaceus amurensis
European hedgehog
Erinaceus roumanicus
Erinaceus concolor
Long-eared hedgehog
Hemiechinus auritus
Hemiechinus collaris
Daurian hedgehog
Mesechinus dauuricus
Hugh's hedgehog
Mesechinus hughi
Bare-bellied hedgehog
Brandt's hedgehog
Desert hedgehog
Paraechinus aethiopicus
Indian hedgehog
Paraechinus micropus
Paraechinus nudiventris
Paraechinus hypomelas
Echinosorex gymnura
Dwarf gymnure
Long-eared gymnure
Short-tailed gymnure
Hylomys suillus
Hylomys parvus
Hylomys megalotis
Neohylomys hainanensis
Neotetracus sinensis
Dinagat gymnure
Mindanao gymnure
Podogymnura truei
Podogymnura aureospinula
Atopogale cubana
Crocidura nigrofusca
Crocidura caliginea
Crocidura olivieri
Andaman shrew
Crocidura andamanensis
Crocidura hispida
Annamite shrew
Crocidura annamitensis
Ansell's shrew
Crocidura ansellorum
Arabian shrew
Crocidura arabica
Armenian shrew
Crocidura armenica
Crocidura attenuata
Crocidura shantungensis
Bailey's shrew
Crocidura baileyi
Bale shrew
Crocidura bottegoides
Banka shrew
Crocidura vosmaeri
Batak shrew
Crocidura batakorum
Bates's shrew
Crocidura batesi
Beccari's shrew
Crocidura beccarii
Beletta shrew
Crocidura yaldeni
Crocidura fuscomurina
Bicolored shrew
Crocidura leucodon
Black-footed shrew
Crocidura nigripes
Crocidura nigricans
Bornean shrew
Crocidura foetida
Bottego's shrew
Crocidura bottegi
Buettikofer's shrew
Crocidura buettikoferi
Crocidura littoralis
Cameroonian shrew
Crocidura picea
Canarian shrew
Crocidura canariensis
Caspian shrew
Crocidura caspica
Crocidura rapax
Crocidura trichura
Cinderella shrew
Crocidura cinderella
Crocidura congobelgica
Crocidura cranbrooki
Cretan shrew
Crocidura zimmermanni
Crosse's shrew
Crocidura crossei
Cyrenaica shrew
Crocidura aleksandrisi
Dent's shrew
Crocidura denti
Crocidura smithii
Desperate shrew
Crocidura desperata
Dhofar shrew
Crocidura dhofarensis
Crocidura douceti
Dsinezumi shrew
Crocidura dsinezumi
Crocidura allex
Crocidura religiosa
Eisentraut's shrew
Crocidura eisentrauti
Elgon shrew
Crocidura elgonius
Elongated shrew
Crocidura elongata
Crocidura fingui
Fischer's shrew
Crocidura fischeri
Flat-headed shrew
Crocidura planiceps
Flower's shrew
Crocidura floweri
Fox's shrew
Crocidura foxi
Crocidura poensis
Gathorne's shrew
Crocidura gathornei
Glass's shrew
Crocidura glassi
Crocidura gmelini
Goliath shrew
Crocidura goliath
Crocidura maurisca
Grasse's shrew
Crocidura grassei
Crocidura grandis
Crocidura flavescens
Crocidura russula
Greenwood's shrew
Crocidura greenwoodi
Guramba shrew
Crocidura phaeura
Guy's shrew
Crocidura guy
Güldenstädt's shrew
Crocidura gueldenstaedtii
Crocidura wuchihensis
Harenna shrew
Crocidura harenna
Heather shrew
Crocidura erica
Hildegarde's shrew
Crocidura hildegardeae
Hill's shrew
Crocidura hilliana
Horsfield's shrew
Crocidura horsfieldii
Hun shrew
Crocidura attila
Hutan shrew
Crocidura hutanis
Indochinese shrew
Crocidura indochinensis
Iranian shrew
Crocidura susiana
Jackass shrew
Crocidura arispa
Jackson's shrew
Crocidura jacksoni
Crocidura umbra
Javanese shrew
Crocidura maxi
Jenkins's shrew
Crocidura jenkinsi
Jouvenet's shrew
Crocidura jouvenetae
Crocidura pullata
Katinka's shrew
Crocidura katinka
Kilimanjaro shrew
Crocidura monax
Kinabalu shrew
Crocidura baluensis
Crocidura lanosa
Kivu shrew
Crocidura kivuana
Lamotte's shrew
Crocidura lamottei
Crocidura grandiceps
Latona's shrew
Crocidura latona
Crocidura watasei
Crocidura silacea
Crocidura hirta
Crocidura serezkyensis
Crocidura suaveolens
Long-footed shrew
Crocidura crenata
Crocidura dolichura
Lucina's shrew
Crocidura lucina
Ludia's shrew
Crocidura ludia
Luzon shrew
Crocidura grayi
Lwiro shrew
Crocidura lwiroensis
MacArthur's shrew
Crocidura macarthuri
MacMillan's shrew
Crocidura macmillani
Crocidura maquassiensis
Malayan shrew
Crocidura malayana
Mamfe shrew
Crocidura virgata
Manenguba shrew
Crocidura manengubae
Mauritanian shrew
Crocidura lusitania
Mduma's shrew
Crocidura mdumai
Mindanao shrew
Crocidura beatus
Mindoro shrew
Crocidura mindorus
Crocidura montis
Moonshine shrew
Crocidura luna
Crocidura musseri
Crocidura nimbasilvanus
Munissi's shrew
Crocidura munissii
Narrow-headed shrew
Crocidura stenocephala
Negev shrew
Crocidura ramona
Negros shrew
Crocidura negrina
Nicobar shrew
Crocidura nicobarica
Nigerian shrew
Crocidura nigeriae
Nimba shrew
Crocidura nimbae
Niobe's shrew
Crocidura niobe
Crocidura pachyura
Nyiro shrew
Crocidura macowi
Oriental shrew
Crocidura orientalis
Palawan shrew
Crocidura palawanensis
Crocidura pergrisea
Panay shrew
Crocidura panayensis
Peninsular shrew
Crocidura negligens
Crocidura gracilipes
Crocidura phanluongi
Crocidura phuquocensis
Pitman's shrew
Crocidura pitmani
Polia's shrew
Crocidura polia
Rainey's shrew
Crocidura raineyi
Crocidura cyanea
Roosevelt's shrew
Crocidura roosevelti
Ryukyu shrew
Crocidura orii
Crocidura sapaensis
Saharan shrew
Crocidura tarfayensis
Crocidura pasha
Crocidura nanilla
Crocidura viaria
Savanna shrew
Crocidura fulvastra
Crocidura longipes
Siberian shrew
Crocidura sibirica
Sibuyan shrew
Crocidura ninoyi
Sicilian shrew
Crocidura sicula
Crocidura hikmiya
Small-footed shrew
Crocidura parvipes
Crocidura fumosa
Sokolov's shrew
Crocidura sokolovi
Crocidura nana
Somali shrew
Crocidura somalica
Crocidura fuliginosa
Crocidura miya
Sulawesi shrew
Crocidura lea
Crocidura levicula
Crocidura rhoditis
Crocidura lepidura
Crocidura paradoxura
Sunda shrew
Crocidura monticola
Crocidura mariquensis
Crocidura thomensis
Crocidura tanakae
Tanzanian shrew
Crocidura tansaniana
Tarella shrew
Crocidura tarella
Telford's shrew
Crocidura telfordi
Thalia's shrew
Crocidura thalia
Therese's shrew
Crocidura theresae
Thick-tailed shrew
Crocidura brunnea
Timor shrew
Crocidura tenuis
Turbo shrew
Crocidura turba
Crocidura selina
Crocidura mutesae
Ultimate shrew
Crocidura ultima
Upemba shrew
Crocidura zimmeri
Usambara shrew
Crocidura usambarae
Crocidura lasiura
Voi shrew
Crocidura voi
Voracious shrew
Crocidura vorax
Crocidura muricauda
Crocidura obscurior
Whitaker's shrew
Crocidura whitakeri
Wimmer's shrew
Crocidura wimmeri
Xanthippe's shrew
Crocidura xantippe
Yankari shrew
Crocidura yankariensis
Zaphir's shrew
Crocidura zaphiri
Crocidura zarudnyi
Diplomesodon pulchellum
Feroculus feroculus
Paracrocidura graueri
Paracrocidura maxima
Paracrocidura schoutedeni
Ruwenzorisorex suncoides
Hero shrew
Scutisorex somereni
Scutisorex thori
Solisorex pearsoni
Anderson's shrew
Black shrew
Day's shrew
Flores shrew
Jungle shrew
Suncus murinus
Climbing shrew
Etruscan shrew
Suncus etruscus
Taita shrew
Suncus stoliczkanus
Suncus montanus
Suncus ater
Suncus hosei
Suncus megalura
Suncus dayi
Suncus mertensi
Suncus lixus
Suncus hututsi
Suncus zeylanicus
Suncus infinitesimus
Suncus varilla
Suncus malayanus
Suncus remyi
Suncus fellowesgordoni
Suncus aequatorius
Kongana shrew
Volcano shrew
Sylvisorex silvanorum
Sylvisorex isabellae
Sylvisorex camerunensis
Sylvisorex corbeti
Sylvisorex akaibei
Sylvisorex granti
Sylvisorex ollula
Sylvisorex howelli
Sylvisorex johnstoni
Sylvisorex konganensis
Sylvisorex oriundus
Sylvisorex lunaris
Sylvisorex morio
Sylvisorex pluvialis
Sylvisorex vulcanorum
Congosorex polli
Congosorex verheyeni
Congosorex phillipsorum
Forest shrew
Myosorex varius
Myosorex longicaudatus
Myosorex babaulti
Myosorex bururiensis
Myosorex cafer
Myosorex eisentrauti
Myosorex geata
Myosorex kabogoensis
Myosorex jejei
Myosorex kihaulei
Myosorex zinki
Myosorex meesteri
Myosorex blarina
Myosorex gnoskei
Myosorex okuensis
Myosorex rumpii
Myosorex schalleri
Myosorex sclateri
Myosorex tenuis
Surdisorex norae
Surdisorex schlitteri
Surdisorex polulus
Anourosorex squamipes
Anourosorex assamensis
Anourosorex schmidi
Anourosorex yamashinai
Blarina hylophaga
Blarina brevicauda
Blarina carolinensis
Blarinella quadraticauda
Blarinella wardi
Blarinella griselda
Chimarrogale phaeura
Chimarrogale himalayica
Chimarrogale sumatrana
Chimarrogale styani
Chimarrogale platycephalus
Chimarrogale hantu
Lamulate shrew
Lowe's shrew
Salenski's shrew
Smith's shrew
Chodsigoa hypsibia
Chodsigoa lamula
Chodsigoa sodalis
Chodsigoa parca
Chodsigoa parva
Chodsigoa salenskii
Chodsigoa smithii
Chodsigoa caovansunga
Yalijux shrew
Cryptotis mam
Cryptotis meridensis
Cryptotis nelsoni
Cryptotis parva
Cryptotis montivaga
Cryptotis magna
Cryptotis nigrescens
Cryptotis niausa
Cryptotis celaque
Cryptotis orophila
Cryptotis alticola
Cryptotis colombiana
Cryptotis merus
Cryptotis dinirensis
Cryptotis brachyonyx
Cryptotis equatoris
Cryptotis endersi
Cryptotis goldmani
Cryptotis goodwini
Cryptotis obscura
