Lemur catta
Loris tardigradus
Otolemur garnettii
Carlito syrichta
Ateles paniscus
Papio hamadryas
Pan troglodytes
Homo sapiens
Pongo pygmaeus
Gorilla gorilla
Allenopithecus nigroviridis
L'Hoest's monkey
Cercopithecus lhoesti
Preuss's monkey
Sun-tailed monkey
Allochrocebus lhoesti
Allochrocebus preussi
Allochrocebus solatus
Agile mangabey
Cercocebus agilis
Collared mangabey
Cercocebus torquatus
Golden-bellied mangabey
Cercocebus chrysogaster
Sanje mangabey
Cercocebus sanjei
Sooty mangabey
Cercocebus atys
Cercocebus galeritus
White-naped mangabey
Cercocebus lunulatus
Blue monkey
Cercopithecus mitis
Cercopithecus campbelli
Cercopithecus pogonias
Cercopithecus neglectus
Cercopithecus denti
Diana monkey
Cercopithecus diana
Cercopithecus nictitans
Hamlyn's monkey
Cercopithecus hamlyni
Cercopithecus petaurista
Cercopithecus lomamiensis
Cercopithecus lowei
Mona monkey
Cercopithecus mona
Moustached guenon
Cercopithecus cephus
Red-eared guenon
Cercopithecus erythrotis
Red-tailed monkey
Cercopithecus ascanius
Roloway monkey
Cercopithecus roloway
Sclater's guenon
Cercopithecus sclateri
White-throated guenon
Cercopithecus erythrogaster
Cercopithecus wolfi
Dryas monkey
Cercopithecus dryas
Green monkey
Chlorocebus sabaeus
Chlorocebus aethiops
Tantalus monkey
Vervet monkey
Chlorocebus djamdjamensis
Chlorocebus cynosuros
Chlorocebus tantalus
Chlorocebus pygerythrus
Erythrocebus patas
Erythrocebus poliophaeus
Erythrocebus baumstarki
Lophocebus aterrimus
Grey-cheeked mangabey
Lophocebus albigena
Toque macaque
Macaca sinica
Arunachal macaque
Assam macaque
Booted macaque
Gorontalo macaque
Heck's macaque
Moor macaque
Muna-Buton macaque
Tonkean macaque
White-cheeked macaque
Barbary macaque
Macaca sylvanus
Bonnet macaque
Macaca radiata
Macaca nigra
Crab-eating macaque
Macaca fascicularis
Macaca cyclopis
Japanese macaque
Macaca fuscata
Lion-tailed macaque
Macaca silenus
Macaca leonina
Rhesus macaque
Macaca mulatta
Siberut macaque
Macaca siberu
Macaca nemestrina
Stump-tailed macaque
Macaca arctoides
Tibetan macaque
Macaca thibetana
Macaca munzala
Macaca assamensis
Macaca ochreata
Macaca nigrescens
Macaca hecki
Macaca maura
Macaca brunnescens
Macaca pagensis
Macaca tonkeana
Macaca leucogenys
Mandrillus leucophaeus
Mandrillus sphinx
Angolan talapoin
Miopithecus talapoin
Gabon talapoin
Miopithecus ogouensis
Chacma baboon
Papio ursinus
Guinea baboon
Papio papio
Hamadryas baboon
Kinda baboon
Papio kindae
Olive baboon
Papio anubis
Yellow baboon
Papio cynocephalus
Rungwecebus kipunji
Theropithecus gelada
Angola colobus
Colobus angolensis
Black colobus
Colobus satanas
King colobus
Colobus polykomos
Mantled guereza
Colobus guereza
Ursine colobus
Colobus vellerosus
Nasalis larvatus
Pennant's colobus
Piliocolobus pennantii
Piliocolobus rufomitratus
Piliocolobus tholloni
Piliocolobus badius
Piliocolobus kirkii
Piliocolobus bouvieri
Piliocolobus foai
Piliocolobus parmentieri
