Rattus norvegicus
Ctenodactylus gundi
Ctenodactylus vali
Felovia vae
Massoutiera mzabi
Pectinator spekei
Laonastes aenigmamus
Bathyergus janetta
Bathyergus suillus
Cryptomys hottentotus
Cryptomys mahali
Cryptomys natalensis
Cryptomys nimrodi
Cryptomys pretoriae
Fukomys amatus
Fukomys anselli
Fukomys bocagei
Fukomys damarensis
Fukomys darlingi
Fukomys foxi
Fukomys hanangensis
Fukomys ilariae
Fukomys kafuensis
Fukomys livingstoni
Fukomys mechowii
Fukomys micklemi
Fukomys ochraceocinereus
Fukomys vandewoestijneae
Fukomys whytei
Fukomys zechi
Georychus capensis
Heliophobius argenteocinereus
Heliophobius kapiti
Heterocephalus glaber
Atherurus africanus
Atherurus macrourus
Hystrix brachyura
Hystrix javanica
Hystrix africaeaustralis
Hystrix cristata
Hystrix indica
Hystrix crassispinis
Hystrix pumila
Hystrix sumatrae
Trichys fasciculata
Petromus antiquus
Petromus minor
Petromus typicus
Thryonomys asakomae
Thryonomys gregorianus
Thryonomys swinderianus
Chaetomys subspinosus
Coendou baturitensis
Coendou bicolor
Coendou ichillus
Coendou insidiosus
Coendou longicaudatus
Coendou melanurus
Coendou mexicanus
Coendou nycthemera
Coendou prehensilis
Coendou pruinosus
Coendou quichua
Coendou roosmalenorum
Coendou rothschildi
Coendou rufescens
Coendou sanctamartae
Coendou speratus
Coendou spinosus
Coendou vestitus
Erethizon bathygnathum
Erethizon cascoensis
Erethizon dorsatum
Erethizon kleini
Erethizon poyeri
Chinchilla chinchilla
Chinchilla lanigera
Lagidium ahuacaense
Lagidium peruanum
Lagidium viscacia
Lagidium wolffsohni
Lagostomus crassus
Lagostomus maximus
Lagostomus telenkechanum
Dinomys branickii
Cavia anolaimae
Cavia aperea
Cavia fulgida
Cavia guianae
Cavia intermedia
Cavia magna
Cavia patzelti
Cavia porcellus
Cavia tschudii
Galea comes
Galea flavidens
Galea leucoblephara
Galea monasteriensis
Galea musteloides
Galea spixii
Microcavia australis
Microcavia jayat
Microcavia maenas
Microcavia niata
Microcavia shiptoni
Microcavia sorojchi
Dolichotis patagonum
Pediolagus salinicola
Hydrochoerus ballesterensis
Hydrochoerus gaylordi
Hydrochoerus hesperotiganites
Hydrochoerus hydrochaeris
Hydrochoerus isthmius
Kerodon acrobata
Kerodon rupestris
Dasyprocta azarae
Dasyprocta coibae
Dasyprocta cristata
Dasyprocta fuliginosa
Dasyprocta guamara
Dasyprocta kalinowskii
Dasyprocta leporina
Dasyprocta mexicana
Dasyprocta prymnolopha
Dasyprocta punctata
Dasyprocta ruatanica
Myoprocta acouchy
Myoprocta pratti
Cuniculus paca
Cuniculus hernandezi
Cuniculus taczanowskii
Ctenomys andersoni
Ctenomys argentinus
Ctenomys australis
Ctenomys azarae
Ctenomys bergi
Ctenomys bidaui
Ctenomys boliviensis
Ctenomys bonettoi
Ctenomys brasiliensis
Ctenomys budini
Ctenomys colburni
Ctenomys coludo
Ctenomys conoveri
Ctenomys contrerasi
Ctenomys coyhaiquensis
Ctenomys dorbignyi
Ctenomys dorsalis
Ctenomys erikacuellarae
Ctenomys emilianus
Ctenomys famosus
Ctenomys flamarioni
Ctenomys fochi
Ctenomys fodax
Ctenomys frater
Ctenomys fulvus
Ctenomys goodfellowi
Ctenomys haigi
Ctenomys ibicuiensis
Ctenomys johannis
Ctenomys juris
Ctenomys knighti
Ctenomys lami
Ctenomys latro
Ctenomys lessai
Ctenomys leucodon
Ctenomys lewisi
Ctenomys magellanicus
Ctenomys maulinus
Ctenomys mendocinus
Ctenomys minutus
Ctenomys nattereri
Ctenomys occultus
Ctenomys opimus
Ctenomys osvaldoreigi
Ctenomys pearsoni
Ctenomys perrensi
Ctenomys peruanus
Ctenomys pilarensis
Ctenomys pontifex
Ctenomys porteousi
Ctenomys pundti
Ctenomys rionegrensis
Ctenomys roigi
Ctenomys saltarius
Ctenomys scagliai
Ctenomys sericeus
Ctenomys sociabilis
Ctenomys steinbachi
Ctenomys sylvanus
Ctenomys talarum
Ctenomys thalesi
Ctenomys torquatus
Ctenomys tuconax
Ctenomys tucumanus
Ctenomys tulduco
Ctenomys validus
Ctenomys viarapaensis
Ctenomys viperinus
Ctenomys yatesi
Ctenomys yolandae
Octodon degus
Aconaemys fuscus
Aconaemys porteri
Aconaemys sagei
Octodon bridgesi
Octodon lunatus
Octodon pacificus
Octodon ricardojeda
Octodontomys gliroides
Octomys mimax
Pipanacoctomys aureus
Spalacopus cyanus
Tympanoctomys barrerae
Tympanoctomys cordubensis
Tympanoctomys kirchnerorum
Tympanoctomys loschalchalerosorum
Abrocoma bennettii
Abrocoma boliviensis
Abrocoma budini
Abrocoma cinerea
Abrocoma famatina
Abrocoma schistacea
Abrocoma uspallata
Abrocoma vaccarum
Cuscomys ashanika
Cuscomys oblativus
Hoplomys gymnurus
Dactylomys boliviensis
Dactylomys dactylinus
Dactylomys peruanus
Kannabateomys amblyonyx
Olallamys albicauda
Olallamys edax
Callistomys pictus
Diplomys caniceps
Diplomys labilis
Echimys chrysurus
Echimys saturnus
Echimys vieirai
Isothrix barbarabrownae
Isothrix bistriata
Isothrix negrensis
Isothrix pagurus
Isothrix sinnamariensis
Makalata didelphoides
Makalata macrura
Makalata obscura
Makalata rhipidura
Pattonomys occasius
Pattonomys semivillosus
Phyllomys blainvilii
Phyllomys brasiliensis
Phyllomys dasythrix
Phyllomys kerri
Phyllomys lamarum
Phyllomys lundi
Phyllomys mantiqueirensis
Phyllomys medius
Phyllomys nigrispinus
Phyllomys pattoni
Phyllomys sulinus
Phyllomys thomasi
Phyllomys unicolor
Santamartamys rufodorsalis
Toromys grandis
Carterodon sulcidens
Clyomys bishopi
Clyomys laticeps
Euryzygomatomys guiara
Euryzygomatomys spinosus
Lonchothrix emiliae
Mesomys hispidus
Mesomys leniceps
Mesomys occultus
Mesomys stimulax
Proechimys canicollis
Proechimys decumanus
Proechimys echinothrix
Proechimys gardneri
Proechimys kulinae
Proechimys pattoni
Proechimys goeldii
Proechimys quadruplicatus
Proechimys steerei
Proechimys guyannensis
Proechimys roberti
Proechimys longicaudatus
Proechimys brevicauda
Proechimys cuvieri
